|Nom de l'entreprise|P/E Ratio (TTM) (Company)|P/E High - Last 5 Yrs. (Company)|P/E Low - Last 5 Yrs. (Company)|Beta (Company)|Price to Sales (TTM) (Company)|Price to Book (MRQ) (Company)|Price to Tangible Book (MRQ) (Company)|Price to Cash Flow (TTM) (Company)|% Owned Institutions (Company)|Dividend Yield (Company)|Dividend Yield - 5 Year Avg (Company)|Dividend 5 Year Growth Rate (Company)|Payout Ratio(TTM) (Company)|Sales (MRQ) vs Qtr. 1 Yr. Ago (Company)|Sales (TTM) vs TTM 1 Yr. Ago (Company)|Sales - 5 Yr. Growth Rate (Company)|EPS (MRQ) vs Qtr. 1 Yr. Ago (Company)|EPS (TTM) vs TTM 1 Yr. Ago (Company)|EPS - 5 Yr. Growth Rate (Company)|Capital Spending - 5 Yr. Growth Rate (Company)|Quick Ratio (MRQ) (Company)|Current Ratio (MRQ) (Company)|LT Debt to Equity (MRQ) (Company)|Total Debt to Equity (MRQ) (Company)|Interest Coverage (TTM) (Company)|Gross Margin (TTM) (Company)|Gross Margin - 5 Yr. Avg. (Company)|EBITD Margin (TTM) (Company)|EBITD - 5 Yr. Avg (Company)|Operating Margin (TTM) (Company)|Operating Margin - 5 Yr. Avg. (Company)|Pre-Tax Margin (TTM) (Company)|Pre-Tax Margin - 5 Yr. Avg. (Company)|Net Profit Margin (TTM) (Company)|Net Profit Margin - 5 Yr. Avg. (Company)|Effective Tax Rate (TTM) (Company)|Effective Tax Rate - 5 Yr. Avg. (Company)|Revenue/Employee (TTM) (Company)|Net Income/Employee (TTM) (Company)|Receivable Turnover (TTM) (Company)|Inventory Turnover (TTM) (Company)|Asset Turnover (TTM) (Company)|Return on Assets (TTM) (Company)|Return on Assets - 5 Yr. Avg. (Company)|Return on Investment (TTM) (Company)|Return on Investment - 5 Yr. Avg. (Company)|Return on Equity (TTM) (Company)|Return on Equity - 5 Yr. Avg. (Company)
0|MMM|25.24|25.66|19.86|1.15|3.66|10.91||18.46|67.98|2.7|2.21|14.77|59.42|7.72|6.14|1.15|-54.55|-3.35|7.74|-1.54|1.17|1.65|111.24|142.66|43.58|49.28|49.01|24.72|27.53|22.17|23.19|21.01|22.63|15.23|16.32|27.52|27.88|352320.0|53651.0|6.47|4.14|0.9|13.67|15.17|17.29|19.14|44.61|37.54
1|AOS|29.3|29.49|24.24|1.51|3.58|6.48|12.27|23.99|94.32|1.12|0.96|25.48|22.92|6.49|9.17|9.09|6.85|13.86|19.93|6.15|1.8|2.18|16.73|17.16|62.45|41.31|39.29|20.16|17.86|17.27|15.0|17.27|15.0|12.59|10.73|27.12|28.48|189112.0|23801.0|4.98|6.57|1.01|12.67|10.37|16.81|13.79|23.4|19.26
2|ABT|58.81|55.06|25.95|1.52|3.8|3.47||21.86|73.99|1.8|2.02|-12.01|101.28|16.65|27.54|7.53|7.97|17.24|47.42|-8.76|1.24|1.66|67.37|69.72|5.09|56.61|55.35|20.54|20.47|8.87|11.51|6.77|10.49|6.51|8.47|3.89|19.28|287323.0|18697.0|5.77|3.16|0.4|2.61|3.68|2.94|4.54|5.9|7.84
3|ABBV|17.07|59.39|17.24|1.63|5.68|47.44||14.53|71.66|3.61|3.0||43.37|21.35|12.95|8.95|64.23|61.52|10.62|9.7|1.1|1.2|869.86|1049.45|9.82|75.78|77.27|42.81|37.21|34.03|30.82|28.5|25.95|33.71|22.44|-18.29|13.52|1021103.0|344172.0|5.63|4.53|0.44|14.79|11.53|18.3|14.88|233.05|135.74
4|ACN|26.61|24.03|14.65|1.01|2.55|10.33|27.23|21.44|76.17|1.69|2.06|12.38|42.02|14.9|9.57|4.31|19.27|-1.72|7.23|6.76||1.31|0.27|0.3|50.05|29.9|30.1|15.76|15.53|12.63|14.01|12.54|13.95|10.05|10.79|19.83|22.69|92047.0|9254.0|5.56||1.81|18.2|19.28|32.66|37.6|42.23|54.43
5|ATVI|55.78|53.36|17.27|1.2|7.55|5.54||30.43|88.87|0.48|0.67|10.76|26.37|13.85|5.51|7.64|16.11|-5.57|3.35|16.25|2.18|2.19|44.73|44.73|7.44|64.48|65.04|30.74|35.99|19.29|23.79|17.42|20.81|13.53|17.06|22.31|18.05|740510.0|100204.0|18.73|57.29|0.41|5.56|5.98|6.51|7.24|10.2|11.1
6|AYI|16.45|41.5|23.8|1.32|1.37|3.0|17.53|12.54||0.43|0.3|0.0|7.13|3.4|2.66|12.63|3.5|5.39|22.23|16.47|1.51|2.15|21.79|21.82|20.16|41.74|42.04|16.4|15.64|13.93|13.52|12.95|12.44|8.79|8.14|32.11|34.59|281928.0|24792.0|7.04|6.08|1.23|10.78|9.69|13.21|12.35|18.01|17.63
7|ADBE|59.36|139.59|43.03|1.07|15.23|13.59|48.13|50.36|88.15||||0.0|23.63|25.13|10.64|78.97|53.49|15.33|-8.06||2.12|21.71|21.71|29.33|86.59|85.53|35.38|27.06|31.2|20.65|30.91|19.75|26.06|15.49|15.67|21.56|428354.0|111644.0|8.05||0.55|14.32|7.0|18.64|8.72|24.74|11.41
8|AAP|26.62|27.29|20.65|1.07|0.93|2.58|4.8|15.07||0.2|0.17|0.0|5.38|-2.2|-2.03|8.6|-34.73|-27.96|-3.04|-6.89|0.36|1.56|30.58|30.58|13.15|43.58|45.47|8.74|11.07|6.08|8.21|5.55|7.6|3.54|4.78|36.24|37.12|234345.0|8293.0|15.49|1.25|1.12|3.95|5.89|6.88|10.97|10.48|19.13
9|AMD||||2.78|2.1|17.6|106.79||73.24|||||39.81|29.75|-0.35|321.86|-35.75||-3.21|1.2|1.62|162.94|194.13|-2.76|34.86|31.64|7.89|1.85|5.69|-3.46|3.76|-6.14|-15.47|-11.12|512.0||673258.0|-104157.0|9.73|5.02|1.7|-26.25|-14.84|-46.43|-24.61|-166.01|-209.68
