nom_entreprise;open_jan_2018;close_jan_2018;open_fev_2018;close_fev_2018;open_mar_2018;close_mar_2018;open_avr_2018;close_avr_2018
MMM;235.78;250.5;247.44;235.51;236.15;219.52;218.05;194.39
AOS;61.45;66.78;66.99;64.19;64.19;63.59;63.45;61.35
ABT;58.2;62.16;61.75;60.33;60.16;59.92;59.82;58.13
ABBV;97.14;112.22;112.24;115.83;115.91;94.65;94;96.55
ACN;153.5;160.7;160.155;161.01;161.28;153.5;151.82;151.2
ATVI;63.54;74.13;73.48;73.13;73.16;67.46;66.8;66.35
AYI;176.67;154.44;153.8;142.58;142.84;139.19;138.16;119.77
ADBE;175.85;199.76;199.12;209.13;210.32;216.08;214.81;221.6
AAP;100.9;116.99;116.24;114.25;114.24;118.55;118.61;114.45
AMD;10.42;13.74;13.62;12.11;12.26;10.05;9.99;10.88
AES;10.87;11.56;11.59;10.87;10.92;11.37;11.38;12.24
AET;180.94;186.82;186.52;177.06;177.06;169;169.01;179.05
AMG;206.52;199.63;198.39;189.36;189.17;189.58;187.53;164.86
AFL;44.18;44.1;44.29;44.44;44.5;43.76;43.85;45.57
A;67.42;73.43;73.18;68.59;68.47;66.9;66.65;65.74
APD;164.88;168.37;167.21;160.79;160.69;159.03;158.95;162.29
AKAM;65.13;66.99;66.42;67.46;67.44;70.98;70.81;71.65
ALK;74.04;;65.54;64.5;64.29;61.96;61.67;64.93
ALB;128.93;111.59;110.92;100.43;101.27;92.74;92.05;96.96
ARE;131;129.7;129.7;121.31;120.81;124.89;124.84;124.57
ALXN;121.63;119.32;118.45;117.45;116.06;111.46;110.41;117.63
ALGN;222.61;262;261.59;262.52;255;251.13;251;249.85
ALLE;80.07;86.11;85.84;84.11;84.15;85.29;85.28;77.18
AGN;164.05;180.26;179.98;154.22;150.76;168.29;167.35;153.65
ADS;254.29;256.66;256.26;240.96;241.06;212.86;212.85;203.05
LNT;42.62;39.75;39.74;38.65;38.71;40.86;40.95;42.95
ALL;104.07;98.77;98.57;92.26;92.33;94.8;95.94;97.82
